"","Variable","Importance"
"1","age.months",242.158896276823
"2","site",212.925615177799
"3","wfaz",190.487078236321
"4","rr.all",146.827744909984
"5","CXCl10",144.065526547605
"6","hr.all",139.942085991494
"7","CRP",139.573118788084
"8","CHI3L",138.871935455576
"9","ANG2",138.692037621973
"10","IL6",126.733960488644
"11","IL8",124.798158107322
"12","ANG1",119.928741574909
"13","PROC",119.770104228621
"14","IL1ra",118.073038163287
"15","lblac",117.184928298489
"16","supar",116.27124765121
"17","enescbchb1",114.750134861277
"18","TNFR1",114.334415836058
"19","IL10",109.322306169552
"20","STREM1",97.1621432319342
"21","envhtemp",84.4187637002106
"22","VEGFR1",80.5351143740553
"23","oxy.ra",77.4994709608221
"24","lbglu",76.1300058535922
"25","cidysymp",54.3886757742615
"26","syndrome.resp",52.9918166102315
"27","na_ind_enescbchb1",51.346834102022
"28","na_ind_SIRS",50.7026323848807
"29","urti",48.6142461237633
"30","pneumo",37.8643543414255
"31","SIRS",36.5889905069071
"32","lrti",36.2903307036171
"33","syndrome.nonresp",29.429204331943
"34","danger.sign",27.3107626656135
"35","prior.care",27.2027687916582
"36","auf",26.1713145311493
"37","LqSOFA",25.0864577774856
"38","parenteral_screen",23.1561138974781
"39","na_ind_oxy.ra",21.4363073763516
"40","diarrhoeal",19.5772024956786
"41","pfacleth",18.014743062094
"42","sex",17.9875180375181
"43","sev.pneumo",16.680127868354
"44","ensapro",16.4638181478424
"45","stunt",15.5665262009545
"46","vomit.all",15.2273348997976
"47","adm.recent",13.6607432493622
"48","travel.time.bin",13.1128406966963
"49","waste",10.9439058555052
"50","neuro",10.9376736813721
"51","seiz",7.49925108268788
"52","not.alert",6.72023926161283
"53","bgcombyn",6.39105010927999
"54","na_ind_lbglu",5.83606394675981
"55","na_ind_lblac",5.83606394675981
"56","crt.long",4.84182294972702
"57","na_ind_ANG1",2.73657123132092
"58","na_ind_ANG2",2.73657123132092
"59","na_ind_CHI3L",2.73657123132092
"60","na_ind_CRP",2.73657123132092
"61","na_ind_CXCl10",2.13550905094714
"62","na_ind_supar",0.864466236147646
