"","Variable","Importance"
"1","age.months",367.613913010442
"2","wfaz",285.900589826689
"3","rr.all",219.484583699266
"4","site",217.571808729565
"5","hr.all",212.115664029245
"6","envhtemp",162.429023035685
"7","cidysymp",113.938468284201
"8","oxy.ra",107.904727210842
"9","SIRS",82.2486030760304
"10","urti",76.558377598847
"11","na_ind_SIRS",68.396448161037
"12","syndrome.resp",66.4860216443807
"13","lrti",52.819015726337
"14","pneumo",45.3929564288208
"15","prior.care",42.9477516918945
"16","syndrome.nonresp",42.6359129735958
"17","danger.sign",39.6666925863167
"18","auf",39.5768942326963
"19","pfacleth",39.4740400530052
"20","sex",38.2308022427308
"21","adm.recent",34.8221393177024
"22","travel.time.bin",34.0654219439738
"23","stunt",29.9621010079168
"24","diarrhoeal",29.5784446657631
"25","LqSOFA",28.7440115147335
"26","sev.pneumo",27.7838626548328
"27","vomit.all",27.7791962237122
"28","neuro",25.978794938327
"29","parenteral_screen",25.563273122367
"30","waste",24.3986364841839
"31","seiz",20.1458107480632
"32","na_ind_oxy.ra",18.9502685809542
"33","ensapro",18.0758915403551
"34","not.alert",9.53018441240424
"35","crt.long",9.37073060843479
"36","bgcombyn",4.73424973416184
"37","na_ind_waste",1.63096914475042
"38","na_ind_danger.sign",0.245690063920211
"39","na_ind_seiz",0.245690063920211
