"","Variable","Importance"
"1","ANG1",336.181513743531
"2","ANG2",256.768744362277
"3","CRP",214.030098906195
"4","lblac",213.724944948323
"5","IL8",211.544668825842
"6","CHI3L",206.74465132776
"7","lbglu",189.284513520198
"8","STREM1",173.99679894801
"9","PROC",171.590319440571
"10","supar",170.956274305952
"11","CXCl10",170.461270668761
"12","IL10",162.91711016318
"13","IL1ra",162.343925469447
"14","IL6",154.116195798145
"15","VEGFR1",148.65581468018
"16","enescbchb1",133.734499259954
"17","TNFR1",92.0645679322495
"18","na_ind_enescbchb1",75.0319013300975
"19","na_ind_CHI3L",8.83311927328377
"20","na_ind_ANG1",7.05032848706638
"21","na_ind_ANG2",7.05032848706638
"22","na_ind_CRP",5.9757986517925
"23","na_ind_CXCl10",5.95340713481644
"24","na_ind_lblac",3.07441274975547
"25","na_ind_lbglu",1.32666500200773
