"","Variable","Importance","Sign"
"1","na_ind_enescbchb1",0.76894911703001,"POS"
"2","na_ind_supar",0.601571959940954,"NEG"
"3","CXCl10",0.586093034589,"POS"
"4","IL8",0.389000817859405,"NEG"
"5","TNFR1",0.350240631904544,"NEG"
"6","IL1ra",0.34968264550412,"NEG"
"7","STREM1",0.290433668743148,"NEG"
"8","na_ind_CRP",0.258467615790635,"POS"
"9","lbglu",0.23307679452456,"NEG"
"10","na_ind_ANG1",0.224821769998356,"POS"
"11","VEGFR1",0.179631940498537,"NEG"
"12","IL10",0.166023809920301,"NEG"
"13","ANG2",0.136635297612261,"NEG"
"14","lblac",0.124298016012477,"NEG"
"15","CHI3L",0.0810245649288166,"NEG"
"16","ANG1",0.0582904232657884,"NEG"
"17","na_ind_CHI3L",0.0363428026221411,"POS"
"18","na_ind_lblac",0.0193891502272057,"NEG"
"19","PROC",0.000876679711916335,"NEG"
"20","na_ind_IL1ra",0.000193069992443014,"POS"
"21","na_ind_CXCl10",3.76349811569502e-05,"POS"
"22","na_ind_IL6",1.91095840640242e-05,"POS"
"23","na_ind_ANG2",7.02981473739208e-16,"POS"
"24","na_ind_lbglu",1.82387912996248e-16,"NEG"
"25","na_ind_IL8",7.58215084564544e-17,"POS"
"26","na_ind_IL10",1.48740758216011e-17,"POS"
"27","na_ind_PROC",1.48740758216011e-17,"POS"
"28","na_ind_TNFR1",1.48740758216011e-17,"POS"
"29","na_ind_STREM1",1.48740758216011e-17,"POS"
"30","na_ind_VEGFR1",1.48740758216011e-17,"POS"
"31","CRP",0,"NEG"
"32","IL6",0,"NEG"
"33","supar",0,"NEG"
"34","enescbchb1",0,"NEG"
