"","Variable","Importance","Sign"
"1","site_vn010",2.52305762748486,"NEG"
"2","parenteral_screen_X1",2.21645286760491,"NEG"
"3","na_ind_SIRS",0.919979915296645,"POS"
"4","site_kh005",0.664975152487341,"POS"
"5","site_id003",0.629904549715009,"POS"
"6","vomit.all_X1",0.500666967858802,"NEG"
"7","pfacleth_X1",0.489820362591039,"NEG"
"8","travel.time.bin_X1",0.467384206453802,"POS"
"9","rr.all",0.427013285085629,"NEG"
"10","syndrome.resp_X1",0.412222995275034,"POS"
"11","seiz_X1",0.408864754981487,"NEG"
"12","prior.care_X1",0.389467887019264,"NEG"
"13","hr.all",0.362004426399702,"NEG"
"14","neuro_X1",0.359108985649276,"NEG"
"15","sev.pneumo_X1",0.338345253755459,"POS"
"16","pneumo_X1",0.318409830549123,"NEG"
"17","age.months",0.302205285690374,"POS"
"18","na_ind_waste",0.290270470834095,"NEG"
"19","urti_X1",0.264197027450294,"POS"
"20","stunt_X1",0.244857349015545,"NEG"
"21","na_ind_pfacleth",0.226112903104662,"POS"
"22","auf_X1",0.225463450966642,"POS"
"23","oxy.ra",0.203755038931893,"POS"
"24","cidysymp",0.186458659296584,"NEG"
"25","ensapro_X1",0.180002905862013,"NEG"
"26","SIRS",0.167875398841945,"NEG"
"27","site_vn009",0.156699266632958,"POS"
"28","crt.long_X1",0.149639002700579,"NEG"
"29","waste_X1",0.115247268823682,"NEG"
"30","adm.recent_X1",0.107957813632185,"NEG"
"31","site_la011",0.0846380334660476,"NEG"
"32","wfaz",0.0746160664585771,"POS"
"33","danger.sign_X1",0.0639699529245554,"POS"
"34","LqSOFA",0.0573162950824131,"NEG"
"35","na_ind_danger.sign",0.0249246238287881,"POS"
"36","na_ind_vomit.all",0.0213471030078889,"POS"
"37","na_ind_seiz",0.00727164796199017,"NEG"
"38","na_ind_stunt",0.00662107758257347,"NEG"
"39","syndrome.nonresp_X1",1.274056186538e-15,"POS"
"40","envhtemp",0,"NEG"
"41","na_ind_adm.recent",0,"NEG"
"42","na_ind_hr.all",0,"NEG"
"43","na_ind_rr.all",0,"NEG"
"44","na_ind_oxy.ra",0,"NEG"
"45","na_ind_LqSOFA",0,"NEG"
"46","site_la004",0,"NEG"
"47","sex_X1",0,"NEG"
"48","bgcombyn_X1",0,"NEG"
"49","lrti_X1",0,"NEG"
"50","diarrhoeal_X1",0,"NEG"
"51","not.alert_X1",0,"NEG"
