"","Variable","Importance"
"1","site",0.0434740525504921
"2","na_ind_SIRS",0.0223438953237902
"3","rr.all",0.0119829576515554
"4","hr.all",0.0114763740515773
"5","urti",0.0110034912849271
"6","pneumo",0.00938264175676218
"7","danger.sign",0.0089865934698391
"8","SIRS",0.0086985781519573
"9","age.months",0.00839209468040201
"10","oxy.ra",0.00736049155517503
"11","parenteral_screen",0.00602818030172988
"12","wfaz",0.00588717184428673
"13","syndrome.nonresp",0.00577983661948002
"14","envhtemp",0.00568130276899999
"15","lrti",0.00551895567049732
"16","syndrome.resp",0.00514643884440665
"17","cidysymp",0.00425258404064942
"18","prior.care",0.00373012098919965
"19","neuro",0.00353452185290246
"20","seiz",0.00325863994816971
"21","travel.time.bin",0.00291333460957045
"22","LqSOFA",0.0028038758396878
"23","diarrhoeal",0.00252364300453961
"24","auf",0.00248253354089008
"25","pfacleth",0.00214746522529819
"26","sev.pneumo",0.00205761233904458
"27","vomit.all",0.00203978542718233
"28","na_ind_oxy.ra",0.00178306765154199
"29","adm.recent",0.00126090601189127
"30","ensapro",0.00116572648639004
"31","waste",0.000826822758412742
"32","stunt",0.00077888411738223
"33","crt.long",0.000650499279115565
"34","bgcombyn",0.000184068161332855
"35","not.alert",0.000140625613018567
"36","sex",0.00010781509151005
"37","na_ind_danger.sign",1.00268048694061e-05
"38","na_ind_waste",7.201299625191e-06
"39","na_ind_stunt",2.65832415584344e-06
"40","na_ind_pfacleth",2.64216696855313e-06
"41","na_ind_site",0
"42","na_ind_age.months",0
"43","na_ind_sex",0
"44","na_ind_bgcombyn",0
"45","na_ind_wfaz",0
"46","na_ind_cidysymp",0
"47","na_ind_prior.care",0
"48","na_ind_travel.time.bin",0
"49","na_ind_urti",0
"50","na_ind_lrti",0
"51","na_ind_diarrhoeal",0
"52","na_ind_neuro",0
"53","na_ind_auf",0
"54","na_ind_syndrome.resp",0
"55","na_ind_syndrome.nonresp",0
"56","na_ind_pneumo",0
"57","na_ind_sev.pneumo",0
"58","na_ind_ensapro",0
"59","na_ind_not.alert",0
"60","na_ind_hr.all",0
"61","na_ind_rr.all",0
"62","na_ind_envhtemp",0
"63","na_ind_crt.long",0
"64","na_ind_LqSOFA",0
"65","na_ind_parenteral_screen",0
"66","na_ind_vomit.all",-1.24682176909285e-06
"67","na_ind_seiz",-5.41148847072059e-06
"68","na_ind_adm.recent",-9.96536507732737e-06
