"","Variable","Importance"
"1","na_ind_enescbchb1",0.030066573605389
"2","TNFR1",0.0130056511981896
"3","VEGFR1",0.00784358778009236
"4","IL6",0.00684068353354198
"5","IL1ra",0.00621723398083849
"6","CXCl10",0.00543497514058775
"7","PROC",0.00527916491243163
"8","STREM1",0.00464934953125187
"9","CRP",0.00444904467047909
"10","supar",0.00429962152683712
"11","IL8",0.00378311101222491
"12","lbglu",0.00343659174239073
"13","ANG2",0.00281714033586562
"14","CHI3L",0.0027346274113312
"15","enescbchb1",0.00244497574347554
"16","IL10",0.00237792925810349
"17","lblac",0.00120695272170905
"18","ANG1",0.00024572490696037
"19","na_ind_CHI3L",0.000110387503881685
"20","na_ind_supar",0.000105492226383455
"21","na_ind_CXCl10",5.30145229328801e-05
"22","na_ind_VEGFR1",4.78261804738738e-05
"23","na_ind_IL6",4.32702699805239e-05
"24","na_ind_STREM1",3.90800136950081e-05
"25","na_ind_ANG1",3.80404324648052e-05
"26","na_ind_TNFR1",3.47507987115208e-05
"27","na_ind_CRP",3.07510531935706e-05
"28","na_ind_IL10",2.85460110107011e-05
"29","na_ind_PROC",2.75079724952708e-05
"30","na_ind_IL8",2.30399097183877e-05
"31","na_ind_IL1ra",2.08228824680667e-05
"32","na_ind_ANG2",1.24108487905978e-05
"33","na_ind_lblac",-2.27350097878435e-05
"34","na_ind_lbglu",-3.85815315058156e-05
