"","Variable","Importance"
"1","adm.recent_X1",0.0405904449383577
"2","site_vn010",0.0265056469530528
"3","oxy.ra",0.0240980315992692
"4","lbglu",0.022714509303371
"5","site_vn009",0.0200618047623765
"6","wfaz",0.0191724354997388
"7","IL8",0.0168009276313841
"8","site_kh005",0.0159284006632166
"9","PROC",0.0147196455358442
"10","parenteral_screen_X1",0.0141935081090939
"11","CXCl10",0.0136703335225678
"12","crt.long_X1",0.0130676142198176
"13","stunt_X1",0.0127913434425196
"14","na_ind_supar",0.0125392099479143
"15","waste_X1",0.0122028466487509
"16","diarrhoeal_X1",0.0121873330184704
"17","na_ind_oxy.ra",0.0121597744707281
"18","site_id003",0.0120446202912689
"19","site_la004",0.0119209141045493
"20","age.months",0.0118243737473759
"21","lblac",0.0110285044468344
"22","not.alert_X1",0.0110251329532509
"23","CRP",0.0106337296543051
"24","supar",0.0105671315224475
"25","na_ind_enescbchb1",0.0104886091279972
"26","na_ind_SIRS",0.0104197355227166
"27","na_ind_CHI3L",0.0101372368570165
"28","ANG1",0.0100010413240875
"29","prior.care_X1",0.00999202084165858
"30","ensapro_X1",0.00996533890927822
"31","na_ind_ANG1",0.00982971064691478
"32","na_ind_ANG2",0.00982971064691478
"33","na_ind_CXCl10",0.00982971064691478
"34","na_ind_IL6",0.00982971064691478
"35","na_ind_IL8",0.00982971064691478
"36","na_ind_IL10",0.00982971064691478
"37","na_ind_PROC",0.00982971064691478
"38","na_ind_TNFR1",0.00982971064691478
"39","na_ind_STREM1",0.00982971064691478
"40","na_ind_VEGFR1",0.00982971064691478
"41","na_ind_IL1ra",0.00978243698432777
"42","SIRS",0.00945035069177202
"43","na_ind_CRP",0.00942484495243194
"44","cidysymp",0.00933929250559686
"45","na_ind_lblac",0.00932650885589625
"46","na_ind_lbglu",0.00932650885589625
"47","hr.all",0.00894253433788024
"48","na_ind_adm.recent",0.00873708475622841
"49","pfacleth_X1",0.00847845625200014
"50","sex_X1",0.00840199470839082
"51","envhtemp",0.00816046680242439
"52","IL6",0.00756889678226687
"53","vomit.all_X1",0.00743314112948785
"54","neuro_X1",0.00703144135899398
"55","ANG2",0.00654355151227644
"56","VEGFR1",0.00649084259865493
"57","seiz_X1",0.00629596004884982
"58","CHI3L",0.00623986273575217
"59","travel.time.bin_X1",0.00612686479478144
"60","TNFR1",0.00609534866915804
"61","STREM1",0.00588381554289099
"62","IL10",0.00567854894944471
"63","site_la011",0.00557191683240761
"64","auf_X1",0.0053494959634875
"65","lrti_X1",0.00525923541644107
"66","enescbchb1",0.00525497763773313
"67","urti_X1",0.00523741042271573
"68","pneumo_X1",0.0048520059593218
"69","IL1ra",0.00484871958185265
"70","danger.sign_X1",0.00438928878993445
"71","LqSOFA",0.0037268828986202
"72","rr.all",0.00370112947017391
"73","bgcombyn_X1",0.00326838642200731
"74","syndrome.resp_X1",0.00304556945106864
"75","syndrome.nonresp_X1",0.00304556945106864
"76","na_ind_waste",0.00192651074064092
"77","na_ind_danger.sign",0.00191894803246322
"78","na_ind_stunt",0.00128182217873705
"79","na_ind_vomit.all",0.00111518944096329
"80","na_ind_seiz",0.000894546126322404
"81","na_ind_pfacleth",0.000449187852901267
"82","weight",0
"83","na_ind_hr.all",-4.14309031182558e-06
"84","na_ind_rr.all",-2.71244994551001e-05
"85","na_ind_LqSOFA",-3.12359530289186e-05
"86","sev.pneumo_X1",-0.000262879289935936
