"","Variable","Importance"
"1","na_ind_enescbchb1",0.104771626974268
"2","CXCl10",0.0651876207546678
"3","lblac",0.0485747178559103
"4","STREM1",0.0468404760428107
"5","PROC",0.0460781494435672
"6","IL6",0.0453141570221368
"7","IL8",0.0436347040490211
"8","supar",0.0422936654718616
"9","ANG2",0.0377694663571913
"10","lbglu",0.0336338478802679
"11","VEGFR1",0.0327770493860428
"12","enescbchb1",0.0307682916297877
"13","IL1ra",0.0307313236668523
"14","CHI3L",0.0303208985216346
"15","TNFR1",0.02626446567842
"16","IL10",0.0241264876869494
"17","CRP",0.0193070080968224
"18","na_ind_supar",0.0175449716399761
"19","na_ind_lblac",0.00750507207392113
"20","na_ind_lbglu",0.00750507207392113
"21","na_ind_CHI3L",0.00229633655119948
"22","na_ind_CRP",0.000692542738313429
"23","na_ind_IL1ra",0.000262921165091357
"24","na_ind_ANG1",0.00015905898559454
"25","na_ind_ANG2",0.00015905898559454
"26","na_ind_CXCl10",0.00015905898559454
"27","na_ind_IL6",0.00015905898559454
"28","na_ind_IL8",0.00015905898559454
"29","na_ind_IL10",0.00015905898559454
"30","na_ind_PROC",0.00015905898559454
"31","na_ind_TNFR1",0.00015905898559454
"32","na_ind_STREM1",0.00015905898559454
"33","na_ind_VEGFR1",0.00015905898559454
"34","weight",0
"35","ANG1",-0.00128506234827038
