"","Variable","Importance"
"1","rr.all",0.0460735130679054
"2","site_vn010",0.0410937331409041
"3","age.months",0.0408550847916341
"4","TNFR1",0.0364304895344774
"5","wfaz",0.0362554955502662
"6","supar",0.0353226658758821
"7","hr.all",0.0342054943447077
"8","CXCl10",0.0333648561615709
"9","VEGFR1",0.0326209805917102
"10","na_ind_enescbchb1",0.0316998306173369
"11","STREM1",0.0314261616746013
"12","lblac",0.0309124851780697
"13","CHI3L",0.0293321497966253
"14","IL6",0.0292970736834591
"15","CRP",0.028515362465676
"16","PROC",0.0279946308545781
"17","parenteral_screen_X1",0.0253914169566944
"18","danger.sign_X1",0.0251784598348777
"19","IL8",0.0248249350558887
"20","ANG2",0.0237220259189529
"21","ANG1",0.0229678154596108
"22","urti_X1",0.0221475488940808
"23","site_kh005",0.0208380735697708
"24","IL10",0.0206314477501254
"25","site_vn009",0.0195743485351686
"26","na_ind_SIRS",0.0185477070167892
"27","IL1ra",0.0176714827617532
"28","envhtemp",0.0175266750444714
"29","oxy.ra",0.01750003792582
"30","cidysymp",0.0155750917617857
"31","lbglu",0.0154492954294422
"32","enescbchb1",0.0149548297775147
"33","pneumo_X1",0.0131880818600703
"34","site_id003",0.00937847421561288
"35","travel.time.bin_X1",0.00936103897329041
"36","ensapro_X1",0.0088771601057829
"37","na_ind_oxy.ra",0.00883972954604757
"38","prior.care_X1",0.00869828077066143
"39","syndrome.resp_X1",0.0081556296732624
"40","neuro_X1",0.00704559139549252
"41","syndrome.nonresp_X1",0.0064233908483368
"42","SIRS",0.00620555673206574
"43","diarrhoeal_X1",0.0058873481375416
"44","seiz_X1",0.00538886399023625
"45","vomit.all_X1",0.0045735828882056
"46","auf_X1",0.00424514221846074
"47","lrti_X1",0.00408480003750034
"48","LqSOFA",0.00402933996901593
"49","site_la004",0.0039243735488462
"50","adm.recent_X1",0.0034437824243589
"51","pfacleth_X1",0.00341854872036549
"52","sex_X1",0.00214891829166671
"53","stunt_X1",0.00120456108237757
"54","bgcombyn_X1",0.0011727013848382
"55","sev.pneumo_X1",0.00077799216893937
"56","crt.long_X1",0.000644509892281441
"57","site_la011",0.000383474573118846
"58","waste_X1",0.000320222758019892
"59","not.alert_X1",9.38885771696189e-05
"60","na_ind_CHI3L",7.99882337111442e-05
"61","na_ind_ANG1",6.10246815010802e-05
"62","na_ind_supar",2.11660585795642e-05
"63","na_ind_IL6",1.46684382768706e-05
"64","na_ind_CXCl10",6.96878221486658e-06
