"","Variable","Importance"
"1","VEGFR1",0.0698808024015599
"2","TNFR1",0.0671196163731538
"3","STREM1",0.0660168888935312
"4","na_ind_enescbchb1",0.0615210432280294
"5","CXCl10",0.0614538874258754
"6","supar",0.0607051593437999
"7","IL8",0.0581491821600567
"8","IL6",0.0576082684843155
"9","PROC",0.0565802770440939
"10","ANG2",0.0554603862383012
"11","lblac",0.0537155500747485
"12","CRP",0.052818096347019
"13","CHI3L",0.0482907243125391
"14","IL1ra",0.048077578240863
"15","lbglu",0.0471089398264733
"16","IL10",0.0467680006908984
"17","ANG1",0.0446856469300511
"18","enescbchb1",0.0422196868022018
"19","na_ind_supar",0.000348657771553276
"20","na_ind_ANG1",0.000293840174655529
"21","na_ind_CHI3L",0.000253637914824827
"22","na_ind_ANG2",0.000250591875013306
"23","na_ind_CXCl10",0.00013733566729927
"24","na_ind_CRP",9.02511855458187e-05
"25","na_ind_IL1ra",8.80936811651255e-05
"26","na_ind_IL8",8.17537171352646e-05
"27","na_ind_IL6",7.10943435468772e-05
"28","na_ind_lblac",6.4777275433825e-05
"29","na_ind_lbglu",4.5937213860304e-05
"30","na_ind_IL10",3.65064051953622e-05
"31","na_ind_TNFR1",3.65020066620065e-05
"32","na_ind_PROC",1.4421576352834e-05
"33","na_ind_VEGFR1",6.45138750477902e-06
"34","na_ind_STREM1",4.12986740680072e-07
