"","Variable","Importance"
"1","age.months",0.10962648923478
"2","hr.all",0.0924584549598492
"3","wfaz",0.0911357641519124
"4","rr.all",0.0838320804601454
"5","na_ind_SIRS",0.061319580422921
"6","envhtemp",0.0544909984257926
"7","site_vn010",0.0512864011769628
"8","danger.sign_X1",0.0361659972978907
"9","parenteral_screen_X1",0.0352051270472592
"10","cidysymp",0.03301242036011
"11","urti_X1",0.0322279409257985
"12","oxy.ra",0.0310965481830077
"13","site_kh005",0.0260307018470595
"14","site_vn009",0.0249904057281713
"15","SIRS",0.0196900667402558
"16","ensapro_X1",0.0162892217235368
"17","travel.time.bin_X1",0.0152438169842762
"18","pneumo_X1",0.0149558640542458
"19","prior.care_X1",0.0137490348570969
"20","site_id003",0.0137156970393249
"21","diarrhoeal_X1",0.0136983449784353
"22","syndrome.resp_X1",0.0135722128313562
"23","na_ind_oxy.ra",0.0133605645885847
"24","neuro_X1",0.0109708882211455
"25","vomit.all_X1",0.00969448120370003
"26","pfacleth_X1",0.00958689106170943
"27","LqSOFA",0.00913526847777352
"28","site_la004",0.00838955622389467
"29","auf_X1",0.00812008570484187
"30","sex_X1",0.0078811995618334
"31","seiz_X1",0.00721578770767667
"32","lrti_X1",0.00679503051266598
"33","syndrome.nonresp_X1",0.00605842889018732
"34","adm.recent_X1",0.00551271108110775
"35","stunt_X1",0.004042211616119
"36","crt.long_X1",0.00205981739154718
"37","sev.pneumo_X1",0.00186577775504529
"38","bgcombyn_X1",0.00184652231639275
"39","site_la011",0.00173290154107742
"40","waste_X1",0.00157028447421283
"41","not.alert_X1",0.000368422240296692
