"","Feature","Stage One","S2: Probable-type Outcome Specialist","S2: Onset Greater Than 24h Specialist","S2: Non Severe Outcome Specialist","S2: Onset Within 24h Specialist"
"1","Missingness Indicator for: SIRS Score",0.0397616788094914,0.0271647886640109,0.0192715469776551,0.0210217874697046,0
"2","Site: National Childrens Hospital, Viet Nam",0.0183510649807898,0.0321702389732292,0.0370145035939191,0.0279373904244866,0
"3","Site: Dong Nai Childrens Hospital, Viet Nam",0.016390764203833,0.0183569126408748,0.0161442628619589,0.0134201403021555,0
"4","Upper Respiratory Tract Infection",0.0153102314709056,0.0215662413899748,0.0256607965672011,0.0205801662379075,0
"5","Heart Rate (bpm)",0.0150584620462619,0.0366744310619524,0.0378352241608574,0.0376667018871318,0.0824507587874947
"6","Site: Angkor Hospital, Cambodia",0.0148596943808828,0.0201393817148763,0.019232266483871,0.0164484470360019,0
"7","Respiratory Rate (breaths/min)",0.0138360964647118,0.035397852139022,0.0408177752089919,0.0378982245828772,0.0754659373751552
"8","Age (Months)",0.0112381470958521,0.0374083502732972,0.0465184726624009,0.0432959768961567,0.0550991417620187
"9","WHO Danger Sign",0.010627116491344,0.019425113993628,0.0235095248996341,0.0188686021837197,0
"10","Oxygen Saturation (%)",0.0104251992216635,0.0264827361263649,0.019942104445201,0.0198712779535064,0.083269322500518
"11","WHO Pneumonia",0.0103031021323617,0.0145297974900455,0.0115614641114365,0.00976482687246227,0
"12","Lower Respiratory Tract Infection",0.00772993496972253,0.00989255448808779,0.00536049139879661,0.00492763763152801,0
"13","Weight for Age Z-Score",0.00771014994153342,0.029768170870694,0.0353901659306216,0.036365846811307,0.0439883147194421
"14","Sought Care Prior to Presentation",0.00594569013408476,0.00816762491017945,0.00912397604346858,0.00779229511143321,0
"15","Axillary Temperature (celcius)",0.00523920242653715,0.0187510525246546,0.016212866280754,0.0213815821482939,0.0444365057742503
"16","Non-Respiratory Syndrome",0.00508243018876724,0.0100088697769119,0.00602511298549932,0.00525566150527758,0
"17","Respiratory Syndrome",0.00463966801660444,0.00934684129107964,0.0075640406162252,0.00696453433102055,0
"18","Duration of Illness (Days)",0.00443167660444365,0.0162743458638588,0.0151470147969752,0.0157303590430764,0.0272292495873613
"19","Parenteral Treatment Before Enrolment",0.0042653187752195,0.0150492929867711,0.0223490896921985,0.0164279562757852,0
"20","Neurological Syndrome",0.00367900656465497,0.00726519603406664,0.0065033097553899,0.00441160035593228,0
"21","Convulsions",0.00282760560630363,0.00746010055601559,0.00568522324342077,0.00457959382495114,0
"22","Undifferentiated Febrile Illness",0.0027321191239516,0.00706566946583215,0.00413422395906014,0.00504660698974944,0
"23","SIRS Score",0.00265540912055379,0.00966105376087226,0.00526371043271724,0.0077478386592203,0.0754039136504083
"24","Site: Rumah Sakit Umum Daerah Wates, Indonesia",0.00247665800329321,0.00359176563297419,0.00630225485628399,0.00354988056530218,0
"25","Travel Time to Study Site",0.00208006404125846,0.0096614727027218,0.00801638511251768,0.00618755136272223,0
"26","Lethargy",0.00185346418502238,0.00462552023347109,0.0025038933029342,0.002431130296521,0
"27","Diarrhoeal Syndrome",0.0017571559656283,0.00547337261963885,0.00438919759309903,0.003501263716069,0
"28","Wasting",0.00169902974520111,0.00142994015223715,0.000313714350363216,0.000613147763680053,0
"29","Intractable Vomiting",0.00158538596292832,0.00594294788755647,0.00427917543289525,0.00333572234691439,0
"30","Site: Salavan Provincial Hospital, Laos",0.00157705679548381,0.00189111016169532,0.00222253738352177,0.00167308540372572,0
"31","LqSOFA Score",0.00137540346762399,0.0076400235349459,0.00255464200888233,0.00355255638385004,0.00821145488815403
"32","Overnight Hospitalisation (last 6 months)",0.00133314850448637,0.00408408807472758,0.00393912722074767,0.00259789647731244,0
"33","Missingness Indicator for: Oxygen Saturation (%)",0.00123902894181917,0.00678589310367539,0.01099336805589,0.00740573179064942,0
"34","Prostration",0.00108044410623335,0.00339070509889317,0.00916302118566509,0.00576962064618867,0
"35","Stunting",0.00103522487493715,0.00280622571469724,0.00276201782402881,0.00280597824309082,0
"36","WHO Severe Pneumonia",0.000732093005026406,0.0036082499683079,0.000479043564903012,0.00102289747595323,0
"37","Sex",0.000620955712005328,0.00439111884717029,0.00281498291432856,0.00466433202316658,0
"38","Capillary Refill Time > 2s",0.000584574639709599,0.000873675570203213,0.000624973983667039,0.00089039403169785,0
