"variable_std","var_category","is_exposure","is_mediator","is_unobserved_bias","num_roles_identified","perc_exposure","perc_mediator","perc_unobserved_bias","tier"
"crp","lab_biomarker",TRUE,FALSE,FALSE,1,34.1935483870968,0,0.645161290322581,1
"procalcitonin","lab_biomarker",TRUE,FALSE,FALSE,1,22.5806451612903,0,0.645161290322581,1
"age","demographic",TRUE,FALSE,FALSE,1,10.9677419354839,0.645161290322581,0.645161290322581,1
"lactate","lab_biomarker",TRUE,FALSE,FALSE,1,5.80645161290323,0,0,2
"nlr","lab_biomarker",TRUE,FALSE,FALSE,1,5.16129032258065,0,0,2
"vital_signs","clinical_sign",TRUE,FALSE,FALSE,1,5.16129032258065,0,0,2
"none_reported","study_bias",FALSE,TRUE,FALSE,1,0,6.45161290322581,0,2
"single_center_study","study_bias",FALSE,FALSE,TRUE,1,0,0,30.3225806451613,1
"small_sample_size","study_bias",FALSE,FALSE,TRUE,1,0,0,20,1
"measurement_variability","measurement_bias",FALSE,FALSE,TRUE,1,0,0,16.1290322580645,1
"selection_bias","study_bias",FALSE,FALSE,TRUE,1,0,0,6.45161290322581,2
"retrospective_data","imaging",FALSE,FALSE,TRUE,1,0,0,5.80645161290323,2
