"","title","location","design","size","modelling_used","internal_validation","ROB","exposures","outcomes","temporal_ordering","mediators","unmeasured_biases","causal_framework","modelling_type"
"1","2-week prevalence and associated factors of fever, diarrhea, and coexisting fever and diarrhea among children aged 6-23months in rural Hunan Province","China (Hunan)","Cross sectional","16985","Stepwise logistic regression","No","High (cross sectional; no validation)","Age; caregiver education; yingyangbao; minimum dietary diversity; minimum acceptable diet","Two-week prevalence of fever and/or diarrhea","No","No","WASH factors","No","Logistic regression"
"2","A practical predictive model to predict 30-day mortality in neonatal sepsis","China (Nanjing and Ganzhou)","Retrospective single-centre cohort","195","Multivariate logistic regression (haemoglobin, prothrombin time)","None (AUC reported)","High - retrospective, single-centre; no validation","Admission lab biomarkers (haemoglobin, prothrombin time, routine biochemistry)","30-day all-cause mortality in neonates","Yes","No","Selection bias; no external validation","No explicit causal framework","Logistic regression"
"3","A three-step diagnosis of paediatric pneumonia at the emergency department using clinical predictors, C-reactive protein, and pneumococcal PCR","Switzerland (Geneva, Lausanne, Sion)","Prospective multicentre diagnostic cohort","142","Stepwise multivariate logistic regression (clinical  CRP/PCT  PCR)","None","Moderate - prospective; no validation / imperfect reference standard","Clinical signs; CRP; PCT; pneumococcal PCR; viral PCR","Pneumonia with consolidation; complicated pneumonia","No","No","Diagnostic misclassification; no validation","No explicit causal framework","Logistic regression"
"4","ADAMTS13 in pediatric sepsis: a prognostic biomarker with potential therapeutic implications","Egypt (Menoufia)","Prospective observational","70","Univariate logistic regression; ROC","None","Moderate - prospective, single-centre; no validation","Serum ADAMTS13 level; severity scores","PICU mortality","Yes","No","Small sample; single-centre","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"5","Admission serum lactate is associated with all-cause mortality in the pediatric intensive care unit","China (Zhejiang)","Retrospective database cohort","12213","Multivariate logistic regression; spline/segmented regression","None","High - retrospective, single-centre; no validation","Admission serum lactate level","PICU mortality","Yes","No","Residual confounding; timing variability","No explicit causal framework","Logistic regression; Spline regression"
"6","Antibiotherapy at birth in very low birth weight infants before and after the use of interleukin 6 as an infectious biomarker in a tertiary level unit","Spain (Asturias)","Retrospective cohort (pre/post)","200","Binary logistic regression","None","High - retrospective, single-centre; no validation","IL-6 testing implementation; gestational factors","Antibiotic therapy first 72-h; morbidity/mortality","Yes","No","Practice changes; confounding","No explicit causal framework","Logistic regression"
"7","Apolipoprotein A-V is a novel diagnostic and prognostic predictor in pediatric patients with sepsis: a prospective pilot study in PICU","China (Shanghai)","Prospective pilot cohort","101","Logistic regression; ROC","None","Moderate - prospective, single-centre; small sample; no validation","Serum ApoA-V level on admission","PICU mortality","Yes","No","Small sample; single-centre","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"8","Assessment of neutrophil to lymphocyte ratio, platelet to lymphocyte ratio and systemic immune-inflammatory index as diagnostic markers for neonatal sepsis","China (Hangzhou)","Retrospective controlled study","120","Multivariate logistic regression (NLR, PLR, SII)  ROC","None (AUC reported)","High - retrospective, single-centre; no validation","Admission NLR, PLR, systemic immune-inflammatory index, WBC","Neonatal sepsis (clinical  culture)","No","No","Single-centre; retrospective; small sample","No explicit causal framework","Logistic regression"
"9","Association between serum transferrin receptor levels and malaria recurrence in a malaria endemic area in Tanzania","Tanzania (Handeni)","Longitudinal community cohort","428","Univariate and multivariate logistic regression","None","High - community cohort; no validation","Biomarkers of iron status (sTfR, hepcidin, leptin, ferritin, CRP, DHEAS)","Malaria recurrence over 6-months","Yes","No","Nutritional confounding; measurement error","No explicit causal framework","Logistic regression"
"10","Association of intrapartum risk factors and infant clinical indicators with culture-confirmed early-onset neonatal sepsis in a rural hospital in India","India (Andhra Pradesh)","Prospective observational cohort","236","Logistic regression (univariate; backward elimination)","None","Moderate - prospective, single-centre; no validation","Intrapartum risk factors; infant clinical indicators; ANC; CRP","Culture-confirmed early-onset neonatal sepsis (-72-h)","Yes","No","Single hospital; antibiotic prophylaxis practices","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"11","Association of neutrophil-lymphocyte ratio and the presence of neonatal sepsis","China (Henan)","Retrospective hospital-based case-control","1480","Multiple logistic regression; ROC","None","High - retrospective; no validation","Admission NLR strata","Presence of neonatal sepsis","No","No","Selection bias; incomplete cultures","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"12","Association of plasma tau with mortality and long-term neurocognitive impairment in survivors of pediatric cerebral malaria and severe malarial anemia","Uganda (Kampala)","Prospective cohort","467","Logistic regression (mortality); linear mixed-effects models","None","Moderate - prospective; no validation","Plasma tau concentration at admission","Mortality; neurocognitive scores over 24-months","Yes","No","Loss to follow-up; unmeasured comorbidities","No explicit causal framework","Logistic regression; General/Mixed linear model"
"13","B-type natriuretic peptide is a useful biomarker predicting disease severity in children with isolated bronchiolitis in the emergency department","Turkey (Izmir)","Prospective cross-sectional ED cohort","264","Binary logistic regression; ANOVA; correlation","None","Moderate - prospective, single-centre; no validation","Plasma BNP level; clinical severity score; vital signs","Disease severity category; hospitalization; length of stay","No","No","Single-centre; selection bias; lack of longitudinal follow-up","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"14","Bacteria profiles and risk factors for proven early-onset sepsis in preterm neonates","China (Shenyang)","Retrospective NICU case-control","156","Multivariate logistic regression; ROC (AUC 0.968)","Hosmer-Lemeshow only; no split-sample or cross-validation","High - retrospective, single-centre; no validation","Apgar score (5min); CRP; PCT; IL-6; perinatal factors","Culture-confirmed EONS -72-h","No","No","Biomarker timing variability; small sample","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"15","Bioinformatic analysis and machine-learning methods in neonatal sepsis: identification of biomarkers and immune infiltration","China (Hangzhou; secondary GEO datasets)","Secondary analysis of public transcriptomic datasets","227","LASSO; SVM-RFE; Random Forest; CIBERSORT; 10-fold cross-validation","Internal cross-validation and external GEO validation set","Moderate - in-silico analysis; relies on public data","Whole-blood gene expression profiles","Neonatal sepsis vs control status","No","Immune-cell infiltration patterns","Batch effects across datasets; retrospective microarray limitations","No explicit causal framework","Penalised regression; SVM; Random forest; Gene co-expression/network; Other (non-modelling) approaches used"
"16","Biomarker phenotype for early diagnosis and triage of sepsis to the pediatric intensive care unit","Canada (Alberta)","Prospective observational multicentre cohort","123","OPLS-DA multivariate models; ROC analysis","Seven-fold cross-validation; internal train-test splits","Moderate - prospective but small sample; no external validation","Serum metabolite panel (55 metabolites); inflammatory protein mediators","Need for PICU vs ward/outpatient care among sepsis cases","Yes","No","Sample size; case-mix differences; assay variability","No explicit causal framework","OPLS-DA; Other (non-modelling) approaches used"
