"","Characteristic","Overall (N = 3379)","Non-Severe (N = 638)","Probable Non-Severe (N = 779)","Probable Severe (N = 1829)","Onset > 24h (N = 33)","Onset < 24h (N = 100)","p-value"
"1","Overnight Hospitalisation (last 6 months)","427 (12.6%)","41 (6.5%)","76 (9.8%)","293 (16.1%)","4 (12.5%)","13 (13.0%)","<0.001"
"2","Age (Months)","16.7 (8.7, 31.1)","22.8 (11.9, 37.5)","17.8 (9.4, 32.2)","15.7 (8.4, 28.6)","3.5 (2.5, 7.5)","6.0 (2.7, 22.8)","<0.001"
"3","Angiopoietin-1","6158.5 (3419.5, 10834.0)","6225.0 (3412.0, 9995.0)","6224.0 (3358.5, 10360.0)","6160.0 (3441.0, 11475.0)","6520.0 (3654.0, 15709.0)","5450.5 (3402.8, 8442.8)","0.35"
"4","Angiopoietin-2","1360.0 (1021.8, 1883.0)","1218.0 (968.0, 1593.0)","1298.0 (991.5, 1722.0)","1412.0 (1048.0, 1992.0)","3211.0 (2331.0, 5252.0)","2305.5 (1306.5, 4231.5)","<0.001"
"5","Undifferentiated Febrile Illness","524 (15.5%)","153 (24.0%)","113 (14.5%)","250 (13.7%)","2 (6.1%)","6 (6.0%)","<0.001"
"6","Comorbidity","101 (3.0%)","7 (1.1%)","17 (2.2%)","75 (4.1%)","0 (0.0%)","2 (2.0%)","<0.001"
"7","CHI3L1 (ng/ml)","24.9 (16.7, 39.1)","22.0 (14.6, 32.0)","24.3 (16.9, 35.6)","25.7 (17.1, 42.5)","32.8 (22.5, 49.1)","38.6 (25.4, 70.3)","<0.001"
"8","Duration of Illness (Days)","3.0 (2.0, 4.0)","3.0 (2.0, 4.0)","3.0 (2.0, 4.0)","3.0 (2.0, 5.0)","3.0 (3.0, 5.0)","3.0 (2.0, 5.0)","<0.001"
"9","C-Reactive Protein","14.3 (3.5, 51.4)","8.3 (2.3, 26.6)","13.4 (3.9, 35.8)","17.1 (4.0, 66.1)","9.3 (4.5, 33.7)","35.0 (5.5, 118.2)","<0.001"
"10","Capillary Refill Time > 2s","192 (5.7%)","16 (2.5%)","45 (5.8%)","102 (5.6%)","14 (42.4%)","15 (15.0%)","<0.001"
"11","CXCL10","825.0 (381.0, 1878.0)","839.0 (376.0, 1858.0)","713.0 (357.5, 1745.0)","901.0 (411.0, 1985.0)","847.0 (326.0, 1210.5)","467.0 (197.2, 1117.8)","<0.001"
"12","WHO Danger Sign","1595 (47.2%)","129 (20.3%)","422 (54.2%)","949 (51.9%)","25 (75.8%)","70 (70.7%)","<0.001"
"13","Diarrhoeal Syndrome","640 (18.9%)","63 (9.9%)","201 (25.8%)","361 (19.7%)","4 (12.1%)","11 (11.0%)","<0.001"
"14","Haemoglobin (mg/dL)","11.3 (10.3, 12.2)","11.4 (10.6, 12.2)","11.5 (10.5, 12.3)","11.3 (10.3, 12.2)","10.3 (9.3, 11.9)","10.9 (9.7, 12.1)","<0.001"
"15","Prostration","239 (7.1%)","10 (1.6%)","46 (5.9%)","135 (7.4%)","19 (57.6%)","29 (29.0%)","<0.001"
"16","Axillary Temperature (celcius)","37.6 (37.0, 38.3)","37.3 (36.7, 38.0)","37.5 (36.8, 38.1)","37.8 (37.0, 38.5)","37.5 (36.6, 38.1)","37.6 (37.0, 38.4)","<0.001"
"17","Heart Rate (bpm)","146.0 (130.0, 164.0)","136.0 (122.0, 148.0)","143.0 (130.0, 160.5)","150.0 (134.0, 168.0)","167.0 (150.0, 180.0)","170.0 (151.0, 186.0)","<0.001"
"18","Interleukin-10","19.6 (10.5, 43.6)","15.3 (9.3, 31.3)","19.6 (9.9, 47.4)","21.0 (11.1, 45.6)","28.5 (16.9, 67.7)","27.0 (13.6, 68.7)","<0.001"
"19","Interleukin-1 Receptor Antagonist","1966.0 (921.0, 4795.5)","1337.0 (612.0, 2708.0)","1838.0 (864.5, 4383.0)","2242.5 (1070.8, 5491.8)","2765.0 (1438.5, 11423.0)","3088.5 (1223.0, 8648.5)","<0.001"
"20","Interleukin-6 (pg/ml)","17.9 (7.6, 46.3)","11.3 (5.5, 25.5)","14.8 (6.6, 33.7)","22.0 (9.1, 59.6)","42.1 (8.7, 148.0)","54.3 (12.3, 212.0)","<0.001"
"21","Interleukin-8","15.4 (9.2, 27.5)","13.0 (8.4, 19.7)","14.5 (8.9, 26.4)","16.6 (9.6, 30.1)","39.2 (19.4, 119.5)","27.3 (13.0, 83.3)","<0.001"
"22","Microbiologically Confirmed Infection","888 (26.3%)","148 (23.2%)","148 (19.0%)","543 (29.7%)","12 (36.4%)","37 (37.0%)","<0.001"
"23","Glucose (mmol/L)","5.4 (4.8, 6.2)","5.2 (4.7, 5.8)","5.3 (4.8, 6.2)","5.6 (4.9, 6.3)","6.0 (5.1, 6.7)","6.0 (5.2, 7.2)","<0.001"
"24","Lactate (mmol/L)","1.0 (0.8, 1.4)","0.9 (0.7, 1.2)","1.0 (0.8, 1.4)","1.0 (0.8, 1.4)","1.3 (1.0, 2.2)","1.4 (0.8, 2.1)","<0.001"
"25","LqSOFA Score","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0.0 (0.0, 1.0)","1.0 (0.0, 2.0)","1.0 (0.0, 1.0)","<0.001"
"26","Lower Respiratory Tract Infection","1337 (39.6%)","158 (24.8%)","253 (32.5%)","840 (45.9%)","22 (66.7%)","64 (64.0%)","<0.001"
"27","Neurological Syndrome","427 (12.6%)","4 (0.6%)","128 (16.4%)","281 (15.4%)","4 (12.1%)","10 (10.0%)","<0.001"
"28","Not Alert (AVPU < A)","86 (2.5%)","1 (0.2%)","18 (2.3%)","48 (2.6%)","6 (18.2%)","13 (13.0%)","<0.001"
"29","Oxygen Saturation (%)","98.0 (97.0, 99.0)","99.0 (98.0, 100.0)","98.0 (97.0, 99.0)","98.0 (97.0, 99.0)","98.0 (95.5, 99.5)","97.0 (94.2, 98.0)","<0.001"
